Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78
  Profit Fac (P8),,,,split_detail,,0.7401,0.7227,0.7227,0.5847,1.0380,1.0938,0.7645,0.7645,0.7645,0.7877,0.7972,1.1140,1.1140,1.1140,1.1140,1.1140,1.1140,1.1140,1.1140,0.5920,1.9132,0.6545,0.6146,0.7423,1.8463,1.7402,1.7402,0.6683,0.6925,0.6925,1.1608,0.6788,0.6788,0.6718,0.6718,1.1852,0.6854,0.5942,0.7455,0.6111,0.6710,0.6853,0.7292,0.6799,0.6193,0.6193,0.6672,0.6672,0.6928,0.8362,0.7295,0.7996,0.7971,0.8074,0.6540,0.7294,0.6895,0.6895,0.8958,0.8958,0.7911,0.9905,0.8109,0.6940,0.9507,0.7864,0.7864,0.7864,0.8032,0.7341,0.7419,0.7009,0.8023,0.6572,0.5994,0.7104,0.6893,0.8210,0.6534
  Max DD (P8),,,,split_detail,,"$12,548.50","$13,089.50","$13,089.50","$16,557.50","$4,576.50","$5,614.50","$11,640.50","$11,640.50","$11,640.50","$10,815.50","$10,131.50","$4,660.00","$4,660.00","$4,660.00","$4,660.00","$4,660.00","$4,660.00","$4,660.00","$4,660.00","$18,793.00","$2,679.50","$13,977.50","$15,152.00","$13,563.50","$2,466.00","$2,679.50","$2,679.50","$13,173.00","$12,699.50","$12,699.50","$4,004.00","$16,571.00","$16,571.00","$13,563.50","$13,563.50","$4,004.00","$12,712.50","$18,378.00","$15,613.00","$16,744.50","$14,814.00","$15,713.50","$13,795.00","$16,041.50","$18,723.00","$18,723.00","$16,198.00","$16,198.00","$14,528.00","$17,323.50","$12,156.50","$19,196.50","$15,191.50","$15,124.00","$15,713.00","$12,825.50","$14,812.00","$14,812.00","$10,949.50","$10,949.50","$13,930.50","$9,451.00","$17,769.50","$11,025.50","$10,834.00","$18,586.00","$18,586.00","$18,586.00","$12,930.50","$13,349.50","$13,827.00","$16,043.00","$13,520.00","$20,088.50","$17,704.00","$19,289.50","$20,361.00","$14,129.00","$23,344.50"
  Total PNL (P8),,,,split_detail,,"$-7,090.50","$-7,708.00","$-7,708.00","$-13,993.00",$966.50,"$1,118.50","$-6,072.50","$-6,072.50","$-6,072.50","$-5,419.00","$-4,993.00","$1,225.50","$1,225.50","$1,225.50","$1,225.50","$1,225.50","$1,225.50","$1,225.50","$1,225.50","$-14,533.00","$8,474.50","$-9,789.50","$-13,193.50","$-7,562.00","$8,613.50","$8,237.00","$8,237.00","$-10,976.00","$-9,490.50","$-9,490.50","$3,485.50","$-12,020.50","$-12,020.50","$-10,611.00","$-10,611.00","$3,930.00","$-10,347.00","$-14,974.00","$-9,246.00","$-13,003.50","$-11,376.00","$-10,663.00","$-9,943.50","$-12,192.50","$-14,366.00","$-14,366.00","$-11,831.00","$-11,831.00","$-10,736.00","$-5,311.50","$-8,781.50","$-9,602.00","$-7,746.00","$-7,260.50","$-12,275.00","$-8,611.50","$-10,903.00","$-10,903.00","$-3,766.00","$-3,766.00","$-7,666.00",$-313.00,"$-7,689.50","$-8,637.50","$-1,738.00","$-7,548.50","$-7,548.50","$-7,548.50","$-7,140.00","$-12,561.50","$-11,340.00","$-12,052.00","$-8,691.50","$-16,925.00","$-17,044.00","$-14,076.50","$-15,579.50","$-7,785.50","$-16,695.50"
  Avg Profit/Tr (P8),,,,split_detail,,$-110.79,$-126.36,$-126.36,$-152.10,$13.81,$23.80,$-94.88,$-94.88,$-94.88,$-90.32,$-87.60,$29.18,$29.18,$29.18,$29.18,$29.18,$29.18,$29.18,$29.18,$-168.99,$235.40,$-150.61,$-178.29,$-114.58,$232.80,$211.21,$211.21,$-138.94,$-120.13,$-120.13,$57.14,$-127.88,$-127.88,$-136.04,$-136.04,$64.43,$-129.34,$-159.30,$-102.73,$-164.60,$-130.76,$-128.47,$-99.43,$-129.71,$-173.08,$-173.08,$-146.06,$-146.06,$-127.81,$-61.76,$-104.54,$-78.07,$-75.94,$-71.18,$-136.39,$-105.02,$-126.78,$-126.78,$-36.56,$-36.56,$-70.33,$-3.07,$-73.94,$-121.65,$-17.92,$-76.25,$-76.25,$-76.25,$-70.00,$-98.14,$-88.59,$-109.56,$-71.83,$-147.17,$-144.44,$-117.30,$-126.66,$-63.30,$-141.49
  Span (min) (P8),,,,split_detail,,157.31,162.30,162.30,132.39,169.20,119.00,143.62,143.62,143.62,162.00,163.37,120.83,120.83,120.83,120.83,120.83,120.83,120.83,120.83,158.79,153.33,163.94,152.43,162.18,155.14,151.28,151.28,142.63,133.22,133.22,164.79,157.79,157.79,144.31,144.31,164.56,147.60,136.98,148.67,154.48,137.93,152.53,148.92,146.81,152.67,152.67,157.33,157.33,158.86,145.67,144.57,148.88,161.88,161.53,136.67,141.51,154.33,154.33,162.29,162.29,142.57,154.94,147.46,143.83,151.55,141.82,141.82,141.82,134.24,121.78,106.22,141.82,132.20,136.80,124.47,125.40,126.54,136.68,127.73
  Sortino (P10),,,,split_detail,,-6.2884,-4.8117,-4.8117,-1.6146,1.1545,1.4899,-4.6485,-4.6485,-4.6485,-7.3848,-7.6202,5.0478,5.0478,5.0478,5.0478,5.0478,5.0478,5.0478,5.0478,-4.3903,2.9407,-7.4245,-4.6662,-4.1477,2.9468,3.0540,3.0540,-4.7824,-1.8240,-1.8240,2.4763,-2.8917,-2.8917,-4.4117,-4.4117,2.5259,-3.7110,-1.9598,-2.7626,-3.7612,-0.5952,-2.3371,-1.1966,-3.0401,0.1216,0.1216,-1.0291,-1.0291,-3.4740,-0.2444,-2.4988,-0.3368,0.3367,-0.4337,-1.4928,-5.6330,-3.2211,-3.2211,-2.5445,-2.5445,-1.1536,-3.0964,1.4949,-1.6239,2.1841,4.5385,4.5385,4.2830,1.2559,-4.9079,-2.4704,-3.9722,-1.2000,-0.1921,-2.3455,-0.0204,0.2842,-0.3443,-0.5560
  Trades/D (P10),,,,split_detail,,0.277,0.277,0.277,0.488,0.476,0.193,0.277,0.277,0.277,0.253,0.241,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.482,0.217,0.253,0.361,0.301,0.235,0.235,0.235,0.361,0.361,0.361,0.404,0.488,0.488,0.355,0.355,0.404,0.398,0.506,0.512,0.434,0.464,0.464,0.548,0.596,0.464,0.464,0.506,0.506,0.494,0.488,0.464,0.608,0.584,0.584,0.506,0.482,0.494,0.494,0.602,0.602,0.614,0.584,0.602,0.404,0.506,0.548,0.548,0.554,0.663,0.675,0.645,0.620,0.711,0.735,0.681,0.777,0.783,0.723,0.771
  Profit Fac (P10),,,,split_detail,,0.5931,0.6597,0.6597,0.8666,1.1196,1.1096,0.6769,0.6769,0.6769,0.5030,0.5065,1.3984,1.3984,1.3984,1.3984,1.3984,1.3984,1.3984,1.3984,0.6572,1.2070,0.5599,0.6470,0.5435,1.2375,1.2443,1.2443,0.6593,0.8703,0.8703,1.2135,0.7463,0.7463,0.6747,0.6747,1.2185,0.7219,0.8441,0.7683,0.7075,0.9496,0.7981,0.8869,0.7320,1.0125,1.0125,0.9014,0.9014,0.7015,0.9822,0.7930,0.9761,1.0314,0.9611,0.8788,0.5484,0.7255,0.7255,0.7947,0.7947,0.9092,0.7523,1.1234,0.8586,1.1821,1.3645,1.3645,1.3370,1.0906,0.6252,0.8118,0.6682,0.9109,0.9848,0.7819,0.9984,1.0225,0.9732,0.9587
  Max DD (P10),,,,split_detail,,"$9,742.00","$9,304.50","$9,304.50","$11,747.50","$6,239.50","$3,722.00","$8,258.00","$8,258.00","$8,258.00","$11,968.50","$11,750.50","$3,722.00","$3,722.00","$3,722.00","$3,722.00","$3,722.00","$3,722.00","$3,722.00","$3,722.00","$17,502.00","$2,541.50","$13,111.50","$13,154.00","$14,816.00","$1,800.50","$1,800.50","$1,800.50","$10,910.50","$6,711.00","$6,711.00","$5,257.50","$12,531.50","$12,531.50","$10,044.00","$10,044.00","$5,257.50","$8,149.00","$12,581.00","$10,405.00","$13,108.50","$9,647.50","$10,399.50","$11,200.00","$13,679.00","$9,940.00","$9,940.00","$10,593.50","$10,593.50","$14,158.00","$12,511.00","$8,482.00","$8,398.00","$5,659.50","$7,598.50","$10,654.00","$19,478.00","$13,076.00","$13,076.00","$13,951.00","$13,951.00","$8,577.50","$13,034.00","$8,882.00","$10,659.50","$7,144.50","$6,707.50","$6,707.50","$7,333.00","$9,576.50","$21,937.00","$14,326.00","$18,248.00","$8,345.50","$9,300.00","$14,511.00","$9,733.50","$7,570.00","$7,614.00","$12,913.50"
  Total PNL (P10),,,,split_detail,,"$-9,624.00","$-8,022.50","$-8,022.50","$-4,271.50","$4,492.00","$1,440.50","$-6,776.00","$-6,776.00","$-6,776.00","$-11,310.00","$-11,092.00","$5,010.00","$5,010.00","$5,010.00","$5,010.00","$5,010.00","$5,010.00","$5,010.00","$5,010.00","$-13,022.00","$2,315.00","$-10,154.50","$-9,540.00","$-14,340.50","$2,751.50","$2,815.00","$2,815.00","$-8,628.50","$-2,818.00","$-2,818.00","$6,646.00","$-8,185.00","$-8,185.00","$-7,938.00","$-7,938.00","$6,775.00","$-7,698.00","$-4,840.00","$-8,332.50","$-8,839.00","$-1,311.00","$-5,659.50","$-3,610.50","$-11,511.00",$364.00,$364.00,"$-3,107.00","$-3,107.00","$-9,773.00",$-723.00,"$-6,632.00","$-1,180.00","$1,161.50","$-1,484.00","$-3,476.00","$-17,993.50","$-8,691.00","$-8,691.00","$-9,240.50","$-9,240.50","$-3,763.50","$-10,392.00","$5,796.50","$-3,783.50","$7,086.50","$15,103.00","$15,103.00","$14,250.50","$4,437.50","$-18,447.00","$-7,868.00","$-16,050.00","$-4,481.00",$-871.50,"$-10,042.00",$-94.50,"$1,283.00","$-1,324.50","$-2,383.00"
  Avg Profit/Tr (P10),,,,split_detail,,$-209.22,$-174.40,$-174.40,$-52.73,$56.86,$45.02,$-147.30,$-147.30,$-147.30,$-269.29,$-277.30,$156.56,$156.56,$156.56,$156.56,$156.56,$156.56,$156.56,$156.56,$-162.78,$64.31,$-241.77,$-159.00,$-286.81,$70.55,$72.18,$72.18,$-143.81,$-46.97,$-46.97,$99.19,$-101.05,$-101.05,$-134.54,$-134.54,$101.12,$-116.64,$-57.62,$-98.03,$-122.76,$-17.03,$-73.50,$-39.68,$-116.27,$4.73,$4.73,$-36.99,$-36.99,$-119.18,$-8.93,$-86.13,$-11.68,$11.97,$-15.30,$-41.38,$-224.92,$-105.99,$-105.99,$-92.41,$-92.41,$-36.90,$-107.13,$57.96,$-56.47,$84.36,$165.97,$165.97,$154.90,$40.34,$-164.71,$-73.53,$-155.83,$-37.97,$-7.14,$-88.87,$-0.73,$9.87,$-11.04,$-18.62
  Span (min) (P10),,,,split_detail,,184.96,195.65,195.65,149.63,218.33,146.78,168.26,168.26,168.26,183.71,179.40,161.66,161.66,161.66,161.66,161.66,161.66,161.66,161.66,163.80,232.22,184.86,169.40,196.56,228.21,227.95,227.95,165.00,161.60,161.60,222.75,159.85,159.85,168.61,168.61,222.54,164.00,154.57,168.14,155.33,150.23,153.35,154.15,196.85,168.47,168.47,158.14,158.14,159.66,215.41,159.27,196.99,165.53,164.78,146.86,185.85,155.12,155.12,167.16,167.16,142.59,157.73,205.44,160.84,189.00,214.68,214.68,212.87,179.67,162.43,156.79,179.88,172.47,192.10,171.40,179.26,179.45,169.40,177.47
