Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79
  Sortino (P8),,,,split_detail,,-3.1813,-1.4534,-1.0192,-1.5368,-1.4533,-0.1471,-1.2322,-2.0444,-2.0444,-2.0444,-2.0444,-3.0111,-1.8385,-1.8385,-1.7702,-2.1947,-1.7702,-2.0640,-2.4873,-1.6268,-1.4222,-2.0897,-1.9245,-2.1044,-2.0348,-2.8332,-2.4188,-1.8089,-2.7669,-1.9343,-1.9138,-4.9169,-2.0660,-1.3008,-2.8311,-2.1144,-3.4800,-3.3938,-3.3938,-2.9379,-2.6609,-3.3938,-3.3938,-3.1180,-3.0251,-3.1180,-3.3938,-3.3938,-3.1180,-4.7646,-6.4586,-3.1861,-2.9729,-6.7483,-7.0944,-2.5162,-6.3530,-6.4617,-2.5842,-6.1200,-3.0072,-3.0494,-7.2479,-6.0983,-6.1211,-5.6495,-6.1966,-7.4921,-3.6541,-6.5266,-2.0270,-2.0270,-7.3389,-7.3389,-6.4611,-3.2114,-7.4921,-6.4434,-7.2502,-3.2114
  Trades/D (P8),,,,split_detail,,0.276,0.387,0.374,0.380,0.380,0.282,0.380,0.380,0.380,0.380,0.380,0.387,0.380,0.380,0.417,0.374,0.417,0.393,0.393,0.393,0.393,0.411,0.399,0.429,0.387,0.387,0.399,0.387,0.387,0.405,0.497,0.423,0.429,0.429,0.405,0.423,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.436,0.423,0.436,0.429,0.429,0.436,0.620,0.534,0.718,0.718,0.540,0.558,0.718,0.699,0.558,0.718,0.656,0.736,0.693,0.656,0.632,0.632,0.497,0.638,0.675,0.755,0.650,0.908,0.908,0.706,0.706,0.650,0.828,0.675,0.656,0.693,0.828
  Profit Fac (P8),,,,split_detail,,0.6913,0.8665,0.9055,0.8609,0.8681,0.9850,0.8876,0.8180,0.8180,0.8180,0.8180,0.7265,0.8353,0.8353,0.8316,0.7971,0.8316,0.8091,0.7664,0.8510,0.8698,0.7957,0.8146,0.7921,0.8166,0.7427,0.7693,0.8244,0.7343,0.8112,0.7969,0.5720,0.7972,0.8655,0.7282,0.7927,0.6528,0.6614,0.6614,0.7132,0.7393,0.6614,0.6614,0.6845,0.6889,0.6845,0.6614,0.6614,0.6845,0.4989,0.3941,0.7252,0.7448,0.3708,0.3551,0.7756,0.3967,0.3946,0.7485,0.4046,0.7123,0.6535,0.3243,0.4113,0.4125,0.4509,0.4040,0.3140,0.5905,0.3812,0.8176,0.8176,0.3119,0.3119,0.3859,0.7249,0.3140,0.3849,0.3213,0.7249
  Max DD (P8),,,,split_detail,,"$4,723.50","$5,292.00","$5,048.50","$5,379.00","$5,267.50","$3,062.50","$4,971.00","$6,093.00","$6,093.00","$6,093.00","$6,093.00","$7,084.00","$5,796.50","$5,796.50","$5,714.00","$6,392.00","$5,714.00","$5,701.00","$5,946.00","$6,022.00","$6,022.00","$4,997.50","$4,578.50","$5,318.50","$6,117.50","$7,084.00","$6,011.00","$4,942.50","$5,485.50","$4,580.00","$5,748.00","$6,856.50","$5,472.50","$4,470.00","$6,200.50","$5,253.50","$6,598.50","$6,598.50","$6,598.50","$6,045.50","$5,659.00","$6,598.50","$6,598.50","$6,236.50","$5,971.50","$6,236.50","$6,598.50","$6,598.50","$6,236.50","$9,986.50","$13,804.50","$11,504.00","$12,691.50","$15,045.50","$15,874.00","$12,575.00","$13,378.50","$14,968.50","$12,793.50","$16,750.00","$14,380.50","$7,825.00","$21,665.00","$16,171.50","$16,095.50","$11,522.50","$16,627.50","$21,609.50","$9,422.00","$17,701.00","$10,946.50","$10,946.50","$21,554.50","$21,554.50","$17,377.00","$16,676.50","$21,609.50","$17,377.00","$21,440.50","$16,676.50"
  Total PNL (P8),,,,split_detail,,"$-3,660.50","$-1,802.50","$-1,252.50","$-1,889.50","$-1,778.00",$-175.00,"$-1,481.50","$-2,603.50","$-2,603.50","$-2,603.50","$-2,603.50","$-4,308.00","$-2,307.00","$-2,307.00","$-2,395.50","$-3,055.00","$-2,395.50","$-2,673.50","$-3,486.50","$-2,134.50","$-1,866.00","$-2,776.50","$-2,441.00","$-2,944.50","$-2,628.00","$-4,053.50","$-3,443.50","$-2,264.00","$-3,870.50","$-2,509.50","$-2,980.00","$-6,900.00","$-2,918.50","$-1,793.00","$-4,151.00","$-2,934.00","$-5,447.50","$-5,312.50","$-5,312.50","$-4,173.00","$-3,786.50","$-5,312.50","$-5,312.50","$-4,950.50","$-4,685.50","$-4,950.50","$-5,312.50","$-5,312.50","$-4,950.50","$-9,575.50","$-11,691.00","$-7,736.50","$-7,391.50","$-12,905.00","$-13,733.50","$-6,430.00","$-13,375.50","$-14,179.00","$-7,182.50","$-15,622.50","$-8,672.50","$-6,799.50","$-18,916.50","$-14,979.00","$-14,903.00","$-9,153.50","$-15,435.00","$-20,133.00","$-9,305.00","$-16,508.50","$-5,706.50","$-5,706.50","$-20,289.50","$-20,289.50","$-16,184.50","$-9,113.50","$-20,133.00","$-16,249.50","$-19,964.00","$-9,113.50"
  Avg Profit/Tr (P8),,,,split_detail,,$-81.34,$-28.61,$-20.53,$-30.48,$-28.68,$-3.80,$-23.90,$-41.99,$-41.99,$-41.99,$-41.99,$-68.38,$-37.21,$-37.21,$-35.23,$-50.08,$-35.23,$-41.77,$-54.48,$-33.35,$-29.16,$-41.44,$-37.55,$-42.06,$-41.71,$-64.34,$-52.98,$-35.94,$-61.44,$-38.02,$-36.79,$-100.00,$-41.69,$-25.61,$-62.89,$-42.52,$-77.82,$-75.89,$-75.89,$-59.61,$-54.09,$-75.89,$-75.89,$-69.73,$-67.91,$-69.73,$-75.89,$-75.89,$-69.73,$-94.81,$-134.38,$-66.12,$-63.18,$-146.65,$-150.92,$-54.96,$-117.33,$-155.81,$-61.39,$-146.00,$-72.27,$-60.17,$-176.79,$-145.43,$-144.69,$-113.01,$-148.41,$-183.03,$-75.65,$-155.74,$-38.56,$-38.56,$-176.43,$-176.43,$-152.68,$-67.51,$-183.03,$-151.86,$-176.67,$-67.51
  Span (min) (P8),,,,split_detail,,67.82,56.89,59.67,57.81,57.02,74.57,56.45,58.71,58.71,58.71,58.71,60.89,58.15,58.15,53.63,62.89,53.63,54.03,57.20,57.53,58.19,51.40,51.48,52.00,58.56,61.22,57.62,55.11,57.44,52.82,43.47,52.04,52.70,51.70,56.11,55.19,54.90,52.60,52.60,49.40,49.90,52.60,52.60,52.94,52.86,52.94,52.60,52.60,52.94,36.18,49.44,62.88,68.03,50.88,51.86,70.12,44.33,68.90,69.34,67.85,72.57,34.50,62.20,61.41,60.87,53.64,60.92,63.70,40.75,61.02,58.60,58.60,58.25,58.25,61.54,64.56,63.70,60.14,64.35,64.56
  Sortino (P10),,,,split_detail,,3.2849,-0.4334,-1.6901,-0.2210,0.0044,4.4574,-0.4049,-0.5557,-0.5557,-0.5557,-0.5557,2.9350,-0.5557,-0.5557,2.0823,2.2458,2.0823,0.7845,4.0072,-0.1530,-0.0921,1.9394,1.9363,2.4301,-0.1528,2.8997,3.4182,1.9285,5.1862,1.9363,1.3496,0.1387,2.7229,1.9222,4.4472,4.2270,4.2308,4.1664,4.1664,1.0062,1.0798,4.1664,4.1664,4.1664,4.5672,4.1664,4.6855,4.0513,3.6800,-0.9735,0.1488,0.5330,1.2861,0.5317,0.5815,1.2976,-1.4686,1.2555,2.0749,-0.1080,2.2581,-1.4251,-2.2120,-0.3430,-0.2887,-0.7114,-0.3430,-2.4633,0.3328,-0.1010,0.2816,0.2440,-1.2764,-1.2764,0.0717,1.9454,-2.9063,-0.0635,-2.6702,1.8630
  Trades/D (P10),,,,split_detail,,0.283,0.367,0.367,0.380,0.373,0.277,0.380,0.380,0.380,0.380,0.380,0.373,0.380,0.380,0.392,0.373,0.392,0.386,0.386,0.373,0.373,0.398,0.398,0.404,0.373,0.373,0.380,0.422,0.386,0.398,0.476,0.452,0.446,0.428,0.398,0.404,0.404,0.410,0.410,0.410,0.410,0.410,0.410,0.410,0.386,0.410,0.386,0.410,0.416,0.590,0.416,0.705,0.675,0.422,0.428,0.675,0.663,0.434,0.693,0.530,0.699,0.590,0.530,0.512,0.512,0.361,0.512,0.542,0.633,0.530,0.886,0.873,0.602,0.602,0.530,0.765,0.560,0.542,0.578,0.777
  Profit Fac (P10),,,,split_detail,,1.4461,0.9539,0.8334,0.9757,1.0005,1.5686,0.9565,0.9406,0.9406,0.9406,0.9406,1.3859,0.9406,0.9406,1.2549,1.2675,1.2549,1.0851,1.5075,0.9831,0.9898,1.2164,1.2205,1.2955,0.9831,1.3827,1.4262,1.2133,1.7020,1.2205,1.1435,1.0153,1.2984,1.2071,1.5852,1.5426,1.5725,1.5651,1.5651,1.1126,1.1209,1.5651,1.5651,1.5651,1.6469,1.5651,1.6637,1.5495,1.4793,0.8994,1.0193,1.0569,1.1380,1.0688,1.0763,1.1395,0.8501,1.1716,1.2473,0.9867,1.2714,0.8416,0.7358,0.9582,0.9647,0.9161,0.9582,0.7032,1.0393,0.9875,1.0325,1.0279,0.8432,0.8432,1.0091,1.2244,0.6624,0.9921,0.6828,1.2139
  Max DD (P10),,,,split_detail,,"$7,297.50","$4,566.50","$4,837.50","$4,357.00","$4,689.50","$6,225.50","$4,763.00","$4,688.00","$4,688.00","$4,688.00","$4,688.00","$3,703.50","$4,688.00","$4,688.00","$3,095.50","$3,703.50","$3,095.50","$4,764.50","$3,703.50","$4,691.00","$4,589.00","$4,817.00","$4,348.50","$3,995.00","$4,614.50","$3,754.50","$3,703.50","$4,984.00","$2,505.00","$4,348.50","$3,260.00","$4,303.50","$4,237.50","$4,066.50","$4,208.50","$2,531.00","$3,703.50","$3,703.50","$3,703.50","$4,756.00","$4,679.50","$3,703.50","$3,703.50","$3,703.50","$3,753.00","$3,703.50","$3,703.50","$3,753.00","$3,703.50","$6,268.00","$11,337.00","$12,684.00","$13,681.50","$10,132.00","$10,132.00","$13,769.00","$8,453.50","$7,865.50","$12,139.50","$8,982.50","$12,122.50","$5,739.00","$7,832.00","$9,912.50","$9,709.00","$10,321.50","$9,912.50","$9,345.00","$3,773.50","$8,730.50","$7,316.00","$7,454.50","$15,832.00","$15,832.00","$8,730.50","$13,842.00","$11,432.50","$8,962.00","$10,763.00","$13,842.00"
  Total PNL (P10),,,,split_detail,,"$5,039.00",$-727.00,"$-2,856.00",$-383.00,$7.50,"$6,069.00",$-700.00,$-972.00,$-972.00,$-972.00,$-972.00,"$5,139.00",$-972.00,$-972.00,"$3,537.00","$3,825.50","$3,537.00","$1,394.50","$7,067.00",$-265.00,$-159.50,"$3,489.50","$3,494.50","$4,543.00",$-264.50,"$5,115.50","$5,934.00","$3,525.00","$8,531.50","$3,494.50","$2,631.00",$260.00,"$5,268.00","$3,684.50","$7,586.00","$7,422.50","$7,960.50","$7,895.50","$7,895.50","$1,927.50","$2,068.00","$7,895.50","$7,895.50","$7,895.50","$8,414.00","$7,895.50","$8,632.00","$7,677.50","$7,085.00","$-2,460.00",$455.00,"$1,738.00","$4,231.00","$1,620.50","$1,797.50","$4,272.50","$-4,262.00","$3,999.50","$7,146.00",$-410.00,"$7,844.50","$-3,399.00","$-8,269.50","$-1,247.00","$-1,043.50","$-1,891.50","$-1,247.00","$-9,758.00",$881.50,$-375.50,"$1,139.00",$976.00,"$-6,167.00","$-6,167.00",$267.00,"$7,413.00","$-11,862.50",$-241.00,"$-11,193.00","$7,165.50"
  Avg Profit/Tr (P10),,,,split_detail,,$107.21,$-11.92,$-46.82,$-6.08,$0.12,$131.93,$-11.11,$-15.43,$-15.43,$-15.43,$-15.43,$82.89,$-15.43,$-15.43,$54.42,$61.70,$54.42,$21.79,$110.42,$-4.27,$-2.57,$52.87,$52.95,$67.81,$-4.27,$82.51,$94.19,$50.36,$133.30,$52.95,$33.30,$3.47,$71.19,$51.89,$114.94,$110.78,$118.81,$116.11,$116.11,$28.35,$30.41,$116.11,$116.11,$116.11,$131.47,$116.11,$134.88,$112.90,$102.68,$-25.10,$6.59,$14.85,$37.78,$23.15,$25.32,$38.15,$-38.75,$55.55,$62.14,$-4.66,$67.63,$-34.68,$-93.97,$-14.67,$-12.28,$-31.53,$-14.67,$-108.42,$8.40,$-4.27,$7.75,$6.73,$-61.67,$-61.67,$3.03,$58.37,$-127.55,$-2.68,$-116.59,$55.55
  Span (min) (P10),,,,split_detail,,154.15,79.30,81.02,77.33,77.68,159.48,76.67,77.67,77.67,77.67,77.67,90.89,77.67,77.67,78.62,92.58,78.62,74.70,88.05,78.13,79.03,77.95,76.79,75.01,78.69,91.45,88.56,74.60,86.52,76.79,73.01,75.97,79.93,77.20,112.32,78.36,86.93,85.75,85.75,73.71,74.12,85.75,85.75,85.75,85.31,85.75,85.75,85.34,84.81,63.64,55.80,95.67,105.50,59.24,59.18,105.81,91.51,57.60,107.80,62.38,107.72,52.57,54.38,52.80,52.67,49.13,52.80,54.02,65.27,54.38,72.19,71.54,61.05,61.05,54.50,96.24,54.53,53.29,54.89,97.73
