Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88,Solution_89,Solution_90,Solution_91,Solution_92
  Profit Fac (P2),,,,split_detail,,0.8202,1.0122,1.5404,0.8568,1.2895,1.1793,1.1975,0.6123,1.2002,1.5263,0.9248,1.0986,1.5263,0.6621,0.8191,0.9065,0.7556,0.7912,0.8978,0.8978,0.7709,0.7693,0.7884,0.7719,0.8413,0.7187,0.8047,0.8311,0.7486,0.8399,0.7901,0.7901,0.8476,0.8897,0.8076,1.0227,0.8037,0.8858,0.7099,0.7012,0.7525,0.6876,0.7370,0.7370,0.7370,0.7315,0.7336,0.9193,0.7631,0.7553,0.8845,0.7631,0.7778,0.7553,0.7553,0.7553,0.9666,0.7743,0.8217,0.7566,0.7553,0.7371,1.1865,0.7717,0.6987,0.7371,0.7462,0.7493,0.7717,0.8290,0.8632,0.9757,0.9606,0.7143,0.9032,0.8159,0.8849,0.9651,0.7338,0.9203,0.7585,0.7416,0.7018,0.9020,0.9482,0.9299,0.9222,0.9290,0.9299,0.6686,0.8460,0.9878,1.0997
  Max DD (P2),,,,split_detail,,"$7,923.00","$9,412.00","$3,902.00","$4,453.00","$4,042.50","$3,169.00","$2,315.00","$10,921.00","$2,813.50","$3,630.00","$6,376.00","$5,004.00","$3,630.00","$11,769.00","$8,407.00","$6,771.00","$11,875.00","$8,016.00","$7,187.50","$7,187.50","$10,861.50","$10,838.00","$12,610.00","$12,374.50","$14,769.50","$14,739.50","$16,075.00","$9,315.50","$14,015.00","$11,434.00","$12,304.00","$12,304.00","$10,165.00","$8,586.50","$11,908.50","$4,365.50","$15,301.50","$11,258.00","$15,460.00","$16,060.00","$14,619.50","$17,139.00","$15,761.00","$15,761.00","$15,761.00","$16,140.00","$13,814.50","$12,326.00","$11,609.00","$12,944.50","$12,361.00","$11,609.00","$12,777.50","$12,944.50","$12,944.50","$12,944.50","$10,847.50","$12,944.50","$10,009.50","$15,491.00","$12,944.50","$13,058.50","$6,404.00","$13,075.00","$15,458.00","$13,058.50","$22,616.50","$14,394.00","$13,075.00","$9,681.00","$11,881.00","$9,331.50","$11,064.50","$15,196.50","$13,772.00","$18,640.50","$9,718.00","$12,359.50","$15,220.00","$9,159.00","$14,065.00","$22,184.50","$28,698.50","$8,974.00","$11,380.50","$10,073.50","$10,525.50","$10,073.50","$10,073.50","$30,765.00","$15,652.00","$9,020.50","$11,538.00"
  Total PNL (P2),,,,split_detail,,"$-3,061.00",$264.50,"$6,459.50","$-2,100.50","$3,639.00","$2,507.50","$2,790.00","$-8,311.50","$2,906.50","$6,404.50","$-1,515.50","$1,825.50","$6,404.50","$-7,310.50","$-3,665.50","$-1,993.00","$-8,600.50","$-5,379.50","$-2,200.50","$-2,200.50","$-7,150.50","$-8,120.50","$-7,895.00","$-8,370.50","$-6,725.50","$-10,939.00","$-8,490.50","$-5,741.00","$-9,503.00","$-7,061.50","$-7,792.00","$-7,792.00","$-5,456.00","$-3,919.00","$-7,397.00",$355.00,"$-9,522.00","$-4,883.00","$-12,949.50","$-13,549.50","$-11,322.00","$-14,628.50","$-13,250.50","$-13,250.50","$-13,250.50","$-13,629.50","$-10,013.50","$-4,176.50","$-8,334.50","$-9,143.50","$-7,300.00","$-8,334.50","$-8,265.50","$-9,143.50","$-9,143.50","$-9,143.50","$-1,279.00","$-8,432.50","$-9,095.00","$-13,547.00","$-9,143.50","$-9,630.50","$7,898.00","$-8,563.00","$-12,016.00","$-9,630.50","$-19,528.00","$-9,728.50","$-8,563.00","$-8,766.50","$-7,649.50","$-1,224.50","$-1,479.00","$-11,435.50","$-6,671.50","$-14,199.00","$-7,117.50","$-2,243.00","$-10,554.50","$-4,207.00","$-11,805.00","$-19,235.00","$-24,157.00","$-5,244.00","$-1,996.50","$-3,828.50","$-4,280.50","$-3,884.00","$-3,828.50","$-26,225.00","$-8,294.50",$-635.50,"$4,787.50"
  Avg Profit/Tr (P2),,,,split_detail,,$-57.75,$4.13,$129.19,$-50.01,$74.27,$51.17,$59.36,$-136.25,$54.84,$114.37,$-25.69,$30.94,$114.37,$-119.84,$-54.71,$-30.66,$-101.18,$-69.86,$-33.85,$-33.85,$-94.09,$-95.54,$-86.76,$-95.12,$-60.05,$-121.54,$-78.62,$-70.01,$-102.18,$-52.31,$-83.78,$-83.78,$-60.62,$-42.14,$-78.69,$7.10,$-74.98,$-41.74,$-95.22,$-97.48,$-83.25,$-103.02,$-86.04,$-86.04,$-86.04,$-87.93,$-111.26,$-29.62,$-98.05,$-101.59,$-35.78,$-98.05,$-90.83,$-101.59,$-101.59,$-101.59,$-12.54,$-92.66,$-63.60,$-85.20,$-101.59,$-111.98,$56.82,$-92.08,$-129.20,$-111.98,$-83.10,$-105.74,$-92.08,$-60.46,$-46.64,$-7.70,$-15.41,$-119.12,$-30.32,$-59.91,$-40.44,$-10.68,$-109.94,$-25.19,$-81.98,$-80.82,$-98.60,$-31.03,$-19.96,$-22.93,$-25.63,$-23.26,$-22.93,$-109.27,$-57.20,$-3.74,$33.48
  Span (min) (P2),,,,split_detail,,238.00,260.09,285.04,296.67,187.04,284.29,285.36,233.18,272.87,260.62,246.10,256.98,260.62,244.43,232.15,242.22,211.32,228.94,244.62,244.62,211.66,208.02,210.00,212.23,189.88,209.69,201.70,228.27,203.68,145.31,205.48,205.48,222.29,219.78,209.11,273.84,189.39,198.87,142.26,142.22,148.44,142.86,141.45,141.45,140.82,140.09,203.31,171.67,207.04,202.22,144.12,207.04,202.31,202.22,202.22,202.22,196.41,202.15,192.82,162.05,202.22,207.40,168.81,202.47,198.11,207.40,117.78,202.54,202.47,191.41,145.72,152.30,198.04,198.48,146.11,139.00,173.52,148.33,200.38,142.71,96.83,112.06,136.63,139.10,197.40,146.95,146.51,147.02,146.95,130.26,158.40,159.52,117.31
  Sortino (P4),,,,split_detail,,0.7836,6.8603,1.0557,1.8939,7.6237,1.3008,1.2625,1.3702,2.4103,3.4437,-1.7315,1.8300,3.2325,3.2574,2.1550,-1.6223,0.8968,-2.9411,-1.7868,-1.7868,1.4432,1.9440,-0.0488,0.4120,3.8121,1.0951,2.8300,0.7113,0.9338,-0.7082,0.5714,0.5714,0.2456,-0.1219,0.4357,1.1027,4.1572,3.5443,1.4109,1.4269,1.3070,2.6609,2.9382,2.4790,2.4886,2.4886,1.2541,2.3851,0.7248,0.8442,1.3835,1.0878,0.5765,1.2264,0.8394,0.9314,0.7796,0.9314,-0.9179,0.8737,-0.0206,0.5723,-0.9562,0.9774,0.2793,0.7754,2.3502,-0.4833,0.4293,-0.9489,6.2728,2.6422,1.1089,0.7352,2.5884,3.2278,-0.6717,2.2166,0.7174,2.7480,0.4391,2.1502,6.1725,3.0727,1.1601,1.6372,1.7368,1.6710,1.7304,4.4076,0.7868,2.1614,-1.2479
  Trades/D (P4),,,,split_detail,,0.270,0.288,0.301,0.252,0.294,0.245,0.252,0.350,0.282,0.325,0.393,0.288,0.331,0.362,0.368,0.429,0.472,0.436,0.429,0.429,0.442,0.485,0.540,0.509,0.663,0.503,0.632,0.466,0.540,0.883,0.564,0.564,0.546,0.589,0.607,0.270,0.810,0.773,0.890,0.896,0.865,0.926,0.969,0.982,0.982,0.982,0.497,0.840,0.509,0.509,0.982,0.491,0.540,0.528,0.534,0.534,0.663,0.534,0.834,0.908,0.552,0.515,0.834,0.571,0.558,0.509,1.147,0.558,0.583,0.847,1.000,0.939,0.595,0.589,1.123,1.190,1.061,1.092,0.601,0.951,0.902,1.166,1.141,0.963,0.632,0.982,0.982,0.982,0.982,1.239,0.945,0.822,0.969
  Profit Fac (P4),,,,split_detail,,1.0858,1.7900,1.1359,1.3180,2.1245,1.1432,1.1384,1.1609,1.2722,1.4883,0.8206,1.2940,1.4485,1.4313,1.2141,0.8312,1.0838,0.7050,0.8051,0.8051,1.1352,1.1748,0.9959,1.0378,1.3136,1.1035,1.2329,1.0650,1.0870,0.9416,1.0513,1.0513,1.0208,0.9890,1.0373,1.1204,1.3048,1.2717,1.1173,1.1195,1.0912,1.2232,1.2501,1.2054,1.2062,1.2062,1.1212,1.2176,1.0647,1.0798,1.1112,1.0973,1.0501,1.1117,1.0744,1.0827,1.0703,1.0827,0.9278,1.0756,0.9982,1.0506,0.9241,1.0861,1.0242,1.0692,1.1975,0.9596,1.0374,0.9247,1.4751,1.2313,1.0987,1.0650,1.2120,1.2699,0.9381,1.1799,1.0633,1.2483,1.0328,1.1843,1.4842,1.2819,1.1061,1.1429,1.1527,1.1464,1.1516,1.3424,1.0748,1.1862,0.8854
  Max DD (P4),,,,split_detail,,"$4,087.50","$3,631.00","$4,133.00","$5,920.50","$2,192.00","$4,387.00","$4,162.50","$5,802.50","$4,031.00","$4,836.00","$8,627.50","$8,441.00","$4,836.00","$4,558.50","$5,278.50","$9,915.50","$6,562.00","$13,467.50","$10,842.00","$10,842.00","$4,798.50","$5,613.00","$7,828.00","$6,667.50","$9,004.00","$6,562.00","$8,435.50","$5,409.00","$6,597.00","$10,853.50","$6,861.00","$6,861.00","$6,815.00","$7,621.50","$7,247.00","$4,129.50","$6,443.50","$6,443.50","$11,114.50","$11,114.50","$9,954.00","$11,114.50","$10,451.00","$10,451.00","$10,451.00","$10,451.00","$6,562.00","$6,385.50","$6,562.00","$6,597.00","$7,072.50","$6,562.00","$7,757.50","$6,562.00","$7,757.50","$6,562.00","$10,094.00","$6,562.00","$14,241.50","$8,630.50","$8,076.00","$6,562.00","$11,101.00","$7,757.50","$8,076.00","$6,562.00","$9,068.50","$8,076.00","$8,076.00","$14,241.50","$7,957.00","$7,131.50","$8,796.50","$8,076.00","$8,459.00","$8,314.00","$13,437.00","$8,459.00","$7,565.50","$6,979.00","$10,127.50","$11,939.50","$9,410.00","$7,007.00","$8,286.00","$7,237.50","$7,237.50","$6,991.00","$7,237.50","$8,887.50","$9,083.00","$7,039.50","$13,374.50"
  Total PNL (P4),,,,split_detail,,"$1,039.00","$9,996.50","$2,339.00","$4,127.50","$11,610.00","$2,014.50","$1,971.50","$2,925.50","$3,980.00","$8,079.00","$-4,311.50","$4,998.00","$7,593.50","$7,040.00","$3,856.00","$-4,742.50","$2,578.50","$-9,166.50","$-5,655.00","$-5,655.00","$3,690.00","$5,317.50",$-157.00,"$1,285.50","$13,302.00","$3,309.50","$10,071.50","$2,051.00","$3,042.50","$-3,243.00","$1,892.00","$1,892.00",$801.50,$-436.00,"$1,507.00","$1,773.00","$14,246.00","$12,220.00","$5,620.00","$5,723.00","$4,499.50","$10,913.00","$12,506.50","$10,651.50","$10,693.00","$10,693.00","$3,786.00","$11,353.50","$2,206.00","$2,608.00","$6,330.00","$3,168.00","$1,824.50","$3,843.00","$2,647.50","$2,922.00","$3,230.00","$2,922.00","$-4,502.50","$4,364.00",$-67.00,"$1,749.00","$-4,722.00","$3,268.00",$918.50,"$2,360.00","$12,485.00","$-1,599.50","$1,474.50","$-4,716.50","$25,521.00","$12,150.00","$4,115.50","$2,558.00","$12,267.50","$17,831.50","$-4,597.00","$10,284.00","$2,526.50","$12,897.50","$1,802.50","$11,445.00","$25,113.00","$14,517.50","$4,516.00","$8,224.50","$8,714.50","$8,401.50","$8,659.50","$20,707.50","$4,311.50","$8,165.50","$-7,289.00"
  Avg Profit/Tr (P4),,,,split_detail,,$23.61,$212.69,$47.73,$100.67,$241.87,$50.36,$48.09,$51.32,$86.52,$152.43,$-67.37,$106.34,$140.62,$119.32,$64.27,$-67.75,$33.49,$-129.11,$-80.79,$-80.79,$51.25,$67.31,$-1.78,$15.49,$123.17,$40.36,$97.78,$26.99,$34.57,$-22.52,$20.57,$20.57,$9.01,$-4.54,$15.22,$40.30,$107.92,$96.98,$38.76,$39.20,$31.91,$72.27,$79.16,$66.57,$66.83,$66.83,$46.74,$82.87,$26.58,$31.42,$39.56,$39.60,$20.73,$44.69,$30.43,$33.59,$29.91,$33.59,$-33.11,$29.49,$-0.74,$20.82,$-34.72,$35.14,$10.09,$28.43,$66.76,$-17.58,$15.52,$-34.18,$156.57,$79.41,$42.43,$26.65,$67.04,$91.91,$-26.57,$57.78,$25.78,$83.21,$12.26,$60.24,$135.02,$92.47,$43.84,$51.40,$54.47,$52.51,$54.12,$102.51,$28.00,$60.94,$-46.13
  Span (min) (P4),,,,split_detail,,192.50,194.81,182.57,184.05,174.06,191.10,189.85,168.74,183.22,191.04,150.75,186.47,187.78,179.15,182.93,159.60,173.27,151.44,160.11,160.11,172.67,170.30,171.50,172.55,156.20,172.10,173.17,181.45,173.25,112.22,171.50,171.50,181.84,167.27,166.44,182.32,134.59,139.00,126.97,126.77,143.67,125.35,125.03,124.42,123.90,123.90,170.77,167.08,167.16,170.02,116.90,169.05,169.11,167.67,167.36,169.13,161.78,169.13,152.94,132.55,165.67,168.67,156.19,170.56,167.54,167.66,107.28,164.46,167.56,153.64,142.49,122.98,165.98,169.60,113.91,114.60,127.56,114.44,167.86,118.06,104.33,100.51,113.28,116.41,163.92,120.97,120.67,122.33,121.50,105.69,116.73,116.91,112.78
  Sortino (P6),,,,split_detail,,6.4384,2.5392,1.2482,-0.1672,-2.3434,3.3056,0.6411,1.9173,1.4106,-2.1198,-3.5635,-3.5032,-2.1198,1.4547,2.8202,0.7108,1.6762,-2.8967,0.7628,0.7628,1.8900,1.5583,2.2732,2.2879,-0.2747,1.1508,-0.7098,2.7338,1.9229,0.8343,1.2378,1.3573,2.4333,3.1282,1.0537,-0.4074,1.1145,1.0604,-0.6472,-0.3405,-0.5745,-0.3696,-0.3976,-0.3925,-0.3925,-0.3925,1.9419,-2.6989,0.6792,0.6606,-1.1837,0.8024,1.9266,0.8719,0.8719,0.8766,0.5930,0.4070,0.7868,0.4060,0.7201,0.3876,0.3875,0.7203,-0.0555,0.0248,-1.2526,0.5866,0.7203,0.4415,0.9675,-0.7720,1.7787,1.0791,-1.4583,-1.3602,-1.0368,-1.3628,0.0330,-1.6134,0.4801,-1.0279,2.0575,-2.4069,1.3395,-1.1134,-1.1793,-1.1643,-1.1134,1.0733,-1.3177,-0.0506,-0.4605
  Trades/D (P6),,,,split_detail,,0.305,0.409,0.329,0.287,0.341,0.311,0.311,0.402,0.354,0.396,0.360,0.335,0.396,0.378,0.378,0.390,0.549,0.427,0.390,0.390,0.500,0.537,0.622,0.567,0.841,0.591,0.799,0.518,0.622,0.799,0.628,0.628,0.598,0.652,0.646,0.329,0.866,0.817,0.927,0.939,0.902,0.970,1.024,1.024,1.024,1.024,0.579,0.909,0.555,0.591,1.067,0.543,0.622,0.598,0.598,0.610,0.750,0.616,0.890,1.091,0.622,0.573,0.841,0.634,0.640,0.567,1.146,0.634,0.634,0.902,0.970,0.915,0.689,0.659,1.128,1.201,1.000,1.110,0.659,0.945,0.738,1.177,1.207,0.945,0.707,0.939,0.939,0.939,0.939,1.220,0.817,0.878,0.866
  Profit Fac (P6),,,,split_detail,,1.3749,1.1805,1.0788,0.9912,0.8152,1.2122,1.0354,1.1307,1.0815,0.8169,0.7594,0.8226,0.8169,1.0999,1.1648,1.0548,1.1077,0.7981,1.0589,1.0589,1.1154,1.0991,1.1381,1.1411,0.9850,1.0695,0.9637,1.1711,1.1243,1.0630,1.0787,1.0863,1.1551,1.1985,1.0654,0.9759,1.0706,1.0665,0.9568,0.9769,0.9628,0.9749,0.9728,0.9732,0.9732,0.9732,1.1225,0.8340,1.0418,1.0405,0.9176,1.0500,1.1208,1.0540,1.0540,1.0542,1.0367,1.0247,1.0667,1.0324,1.0444,1.0240,1.0320,1.0452,0.9966,1.0015,0.9138,1.0358,1.0452,1.0361,1.0641,0.9401,1.1141,1.0676,0.8991,0.9048,0.9368,0.9053,1.0020,0.8819,1.0342,0.9263,1.1603,0.8249,1.0864,0.9183,0.9135,0.9149,0.9183,1.0754,0.9005,0.9964,0.9643
  Max DD (P6),,,,split_detail,,"$4,341.50","$9,584.50","$6,759.50","$8,233.50","$8,787.50","$6,056.50","$8,202.00","$8,201.50","$8,374.00","$12,461.00","$11,564.00","$10,914.50","$12,461.00","$7,322.00","$7,903.00","$9,638.50","$9,023.00","$14,570.50","$9,638.50","$9,638.50","$10,165.50","$9,489.50","$10,609.00","$10,761.00","$15,633.50","$10,636.50","$16,244.00","$12,755.00","$8,463.50","$19,039.50","$9,596.50","$9,249.50","$12,695.50","$9,864.50","$10,678.50","$7,396.50","$16,031.50","$17,716.50","$18,760.50","$18,448.00","$18,690.00","$18,448.00","$19,702.00","$19,702.00","$19,702.00","$19,702.00","$9,554.50","$26,351.00","$9,295.00","$9,360.00","$18,801.00","$9,295.00","$9,596.50","$9,707.00","$9,707.00","$9,402.00","$11,145.00","$9,402.00","$15,038.00","$18,591.50","$10,211.00","$10,516.00","$17,533.50","$9,402.00","$10,211.00","$10,104.00","$17,146.00","$10,211.00","$9,402.00","$16,300.00","$16,317.00","$15,091.00","$8,763.50","$10,197.50","$20,507.50","$21,853.50","$20,531.00","$21,086.00","$10,211.00","$15,111.50","$11,072.00","$16,862.50","$12,225.00","$20,000.50","$9,295.00","$13,605.00","$14,001.00","$13,906.00","$13,605.00","$18,258.00","$15,553.50","$12,793.00","$12,504.00"
  Total PNL (P6),,,,split_detail,,"$10,067.50","$7,021.00","$2,635.50",$-290.50,"$-7,617.50","$6,105.50","$1,110.00","$4,607.50","$2,713.00","$-7,828.50","$-8,962.00","$-7,086.50","$-7,828.50","$3,370.00","$5,570.00","$1,975.50","$5,636.50","$-8,467.50","$2,115.50","$2,115.50","$5,622.00","$5,096.50","$8,161.50","$7,740.50","$-1,261.00","$4,004.50","$-3,065.50","$8,656.00","$7,019.50","$4,028.00","$4,597.00","$5,041.00","$8,724.50","$11,557.00","$3,967.50",$-795.00,"$5,882.50","$5,353.00","$-3,406.50","$-1,816.00","$-2,976.50","$-2,025.50","$-2,283.00","$-2,254.00","$-2,254.00","$-2,254.00","$6,640.50","$-15,407.00","$2,264.00","$2,302.50","$-7,230.00","$2,634.00","$6,900.00","$3,070.50","$3,070.50","$3,112.00","$2,499.50","$1,454.00","$5,219.50","$2,759.50","$2,588.00","$1,328.00","$2,593.50","$2,675.50",$-202.50,$83.00,"$-7,722.50","$2,142.00","$2,675.50","$2,913.00","$5,157.50","$-4,967.00","$6,899.50","$4,036.00","$-8,959.00","$-9,255.50","$-6,039.00","$-8,285.00",$124.50,"$-9,932.00","$2,206.00","$-6,373.50","$14,423.50","$-14,821.00","$5,356.50","$-7,071.50","$-7,486.00","$-7,391.00","$-7,071.50","$6,871.50","$-7,833.00",$-239.00,"$-2,787.00"
  Avg Profit/Tr (P6),,,,split_detail,,$201.35,$104.79,$48.81,$-6.18,$-136.03,$119.72,$21.76,$69.81,$46.78,$-120.44,$-151.90,$-128.85,$-120.44,$54.35,$89.84,$30.87,$62.63,$-120.96,$33.05,$33.05,$68.56,$57.91,$80.01,$83.23,$-9.14,$41.28,$-23.40,$101.84,$68.82,$30.75,$44.63,$48.94,$89.03,$108.01,$37.43,$-14.72,$41.43,$39.95,$-22.41,$-11.79,$-20.11,$-12.74,$-13.59,$-13.42,$-13.42,$-13.42,$69.90,$-103.40,$24.88,$23.74,$-41.31,$29.60,$67.65,$31.33,$31.33,$31.12,$20.32,$14.40,$35.75,$15.42,$25.37,$14.13,$18.79,$25.73,$-1.93,$0.89,$-41.08,$20.60,$25.73,$19.68,$32.44,$-33.11,$61.06,$37.37,$-48.43,$-46.98,$-36.82,$-45.52,$1.15,$-64.08,$18.23,$-33.02,$72.85,$-95.62,$46.18,$-45.92,$-48.61,$-47.99,$-45.92,$34.36,$-58.46,$-1.66,$-19.63
  Span (min) (P6),,,,split_detail,,139.44,170.09,165.93,163.83,151.07,170.20,153.73,134.27,157.38,145.62,145.02,154.76,145.62,136.16,128.26,144.94,166.44,139.71,145.12,145.12,171.59,165.45,168.82,167.25,143.96,166.56,159.24,190.24,166.08,129.80,162.70,165.15,181.14,172.71,162.98,142.85,150.15,153.90,124.43,123.73,131.77,122.30,121.83,121.17,121.17,121.17,163.87,146.30,159.38,161.51,116.24,162.02,162.10,160.00,160.00,158.62,150.93,157.19,156.36,134.72,158.39,158.77,163.16,159.65,154.80,160.77,110.06,158.04,159.65,155.74,126.00,130.56,159.33,157.63,113.74,131.26,145.54,113.62,158.67,119.69,119.70,101.05,113.13,118.61,159.19,129.19,127.48,129.35,129.19,108.71,125.37,116.38,119.83
  Sortino (P8),,,,split_detail,,3.9741,2.1211,3.1552,6.3023,0.7452,2.6229,4.0889,4.9874,3.4392,3.3484,1.3407,4.3905,3.5236,10.1905,4.4853,5.0008,-2.4140,5.4288,4.9788,4.9788,-2.1928,-1.9742,-3.0545,-3.1568,-2.4347,-3.4054,-2.6110,-1.9763,-3.8632,-2.2420,-3.9491,-3.9491,-1.8015,-2.9056,-2.0062,5.3791,-2.9184,-2.5034,-4.7390,-4.7390,-5.9924,-4.7390,-5.2609,-5.4191,-5.4083,-5.1394,-3.2874,-6.0030,-1.2288,-3.3801,-4.7770,-0.7945,-3.0946,-2.8578,-2.1272,-3.3553,-4.0202,-3.2089,-3.9947,-2.7314,-3.0140,-1.2288,-3.9138,-3.1182,-2.5698,-0.1601,-5.6757,-3.1949,-3.4679,-3.9947,-6.3677,-5.5627,-3.5299,-3.3594,-3.7455,-4.1803,-3.5138,-3.9628,-2.0842,-5.7234,-5.3646,-6.5098,-2.9507,-5.8418,-3.6410,-5.4905,-5.9966,-5.4323,-5.4226,-3.7926,-2.8180,-4.2569,-4.0238
  Trades/D (P8),,,,split_detail,,0.301,0.387,0.325,0.264,0.350,0.319,0.319,0.362,0.344,0.380,0.307,0.307,0.380,0.350,0.374,0.301,0.521,0.393,0.301,0.301,0.472,0.515,0.571,0.534,0.656,0.540,0.638,0.503,0.613,0.798,0.613,0.613,0.571,0.632,0.626,0.325,0.761,0.718,0.945,0.945,0.926,0.945,0.994,1.012,1.012,1.025,0.540,0.939,0.534,0.552,1.086,0.521,0.577,0.558,0.558,0.564,0.736,0.571,0.822,1.037,0.571,0.534,0.890,0.613,0.595,0.534,1.227,0.583,0.620,0.822,0.982,0.951,0.613,0.638,1.172,1.245,0.975,1.153,0.638,0.988,0.883,1.252,1.227,1.012,0.663,1.018,1.018,1.018,1.018,1.307,0.779,0.865,0.877
  Profit Fac (P8),,,,split_detail,,1.2245,1.1619,1.2683,1.7464,1.0454,1.2117,1.3404,1.3783,1.2759,1.2807,1.1014,1.4441,1.2954,1.7916,1.2884,1.6037,0.8467,1.4312,1.5911,1.5911,0.8683,0.8796,0.8041,0.7982,0.8812,0.7930,0.8550,0.8643,0.7700,0.8841,0.7641,0.7641,0.8762,0.8157,0.8718,1.3898,0.8482,0.8628,0.7037,0.7037,0.6630,0.7037,0.6799,0.6697,0.6704,0.6847,0.8049,0.6798,0.9222,0.8003,0.7081,0.9498,0.8141,0.8293,0.8691,0.8024,0.7598,0.8089,0.7401,0.8145,0.8210,0.9222,0.7318,0.8119,0.8482,0.9902,0.6717,0.8116,0.7948,0.7401,0.6951,0.5967,0.7890,0.7978,0.7602,0.7464,0.7690,0.7473,0.8730,0.6214,0.6794,0.6211,0.8101,0.6176,0.7826,0.6237,0.6028,0.6208,0.6314,0.7689,0.7841,0.7175,0.7359
  Max DD (P8),,,,split_detail,,"$3,812.50","$4,223.00","$4,729.00","$2,521.00","$3,292.50","$3,127.50","$3,839.50","$3,787.50","$3,675.00","$3,455.00","$4,495.00","$3,854.00","$3,455.00","$3,787.50","$3,657.50","$3,186.50","$10,099.50","$3,441.00","$3,186.50","$3,186.50","$9,712.50","$8,985.00","$11,898.50","$11,062.00","$13,461.50","$12,003.00","$14,584.00","$8,433.50","$14,925.50","$14,622.00","$15,329.50","$15,329.50","$9,793.00","$15,302.50","$14,727.00","$3,594.50","$13,982.00","$14,568.00","$17,038.50","$17,038.50","$20,971.50","$17,038.50","$19,062.50","$19,913.50","$19,873.50","$19,256.00","$11,421.50","$19,970.50","$9,538.00","$12,116.00","$22,178.00","$8,657.00","$12,096.00","$11,158.50","$11,185.50","$11,158.50","$19,440.00","$11,158.50","$21,497.50","$19,829.00","$11,988.00","$9,538.00","$18,368.00","$14,024.00","$11,373.00","$8,585.00","$24,687.00","$12,669.00","$14,826.50","$21,497.50","$21,704.50","$30,330.50","$13,891.50","$15,098.00","$17,944.50","$20,988.00","$16,446.00","$18,140.50","$13,530.50","$28,027.50","$24,732.00","$27,526.00","$19,178.50","$27,809.50","$16,049.00","$26,633.00","$28,638.50","$27,273.00","$27,057.00","$23,396.50","$24,194.00","$17,534.00","$18,109.00"
  Total PNL (P8),,,,split_detail,,"$3,340.50","$3,328.00","$4,226.00","$8,382.00",$916.00,"$3,386.00","$5,338.50","$6,782.50","$4,688.50","$5,092.00","$1,640.50","$6,250.00","$5,358.50","$11,198.50","$5,830.50","$7,319.50","$-4,745.00","$8,155.50","$7,223.00","$7,223.00","$-3,650.00","$-3,721.50","$-7,024.50","$-6,753.50","$-5,096.00","$-6,975.00","$-6,369.00","$-4,252.00","$-8,820.50","$-4,457.50","$-9,118.00","$-9,118.00","$-4,384.50","$-7,468.00","$-4,966.00","$5,889.00","$-7,395.50","$-6,383.00","$-16,790.00","$-16,790.00","$-20,672.00","$-16,790.00","$-19,171.50","$-20,022.50","$-19,982.50","$-19,255.50","$-6,476.50","$-19,195.50","$-2,358.00","$-6,704.50","$-17,624.50","$-1,477.00","$-6,585.50","$-5,731.50","$-4,308.50","$-6,859.50","$-11,363.50","$-6,631.50","$-13,089.00","$-10,802.00","$-6,239.00","$-2,358.00","$-14,101.00","$-6,996.00","$-5,463.00",$-296.00,"$-22,474.00","$-6,692.00","$-7,798.50","$-13,089.00","$-18,690.00","$-23,673.00","$-8,220.00","$-8,124.00","$-15,638.50","$-17,166.50","$-14,931.00","$-16,443.50","$-4,826.00","$-23,226.00","$-17,770.00","$-25,113.50","$-13,171.50","$-24,020.50","$-9,213.00","$-23,307.50","$-25,313.00","$-23,601.00","$-22,967.50","$-17,111.00","$-10,167.50","$-14,200.00","$-13,715.50"
